name                                                         ,type            ,longitude ,latitude ,source_file
"Feature-GairiHanumante to Simigaun (Line 1, Point 15)"      ,MultiLineString ,  86.1997 , 27.6598 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 16)"      ,MultiLineString ,  86.201  , 27.6586 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 17)"      ,MultiLineString ,  86.1998 , 27.6558 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 18)"      ,MultiLineString ,  86.199  , 27.6552 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 1)"       ,MultiLineString ,  86.1652 , 27.7361 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 2)"       ,MultiLineString ,  86.1702 , 27.7404 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 3)"       ,MultiLineString ,  86.1741 , 27.7445 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 4)"       ,MultiLineString ,  86.1788 , 27.7496 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 5)"       ,MultiLineString ,  86.188  , 27.7554 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 6)"       ,MultiLineString ,  86.1933 , 27.7582 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 7)"       ,MultiLineString ,  86.2001 , 27.762  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 8)"       ,MultiLineString ,  86.2014 , 27.7677 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 9)"       ,MultiLineString ,  86.2041 , 27.7718 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 10)"      ,MultiLineString ,  86.2063 , 27.7796 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 11)"      ,MultiLineString ,  86.211  , 27.7831 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 12)"      ,MultiLineString ,  86.2138 , 27.7878 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 13)"      ,MultiLineString ,  86.2178 , 27.7976 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 14)"      ,MultiLineString ,  86.2217 , 27.8032 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 15)"      ,MultiLineString ,  86.2261 , 27.8075 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 16)"      ,MultiLineString ,  86.2256 , 27.8117 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 17)"      ,MultiLineString ,  86.2286 , 27.8153 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 18)"      ,MultiLineString ,  86.2291 , 27.8231 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 19)"      ,MultiLineString ,  86.226  , 27.8294 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 20)"      ,MultiLineString ,  86.2211 , 27.8336 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 21)"      ,MultiLineString ,  86.2175 , 27.843  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 2, Point 22)"      ,MultiLineString ,  86.2176 , 27.849  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 1)"       ,MultiLineString ,  86.1656 , 27.7366 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 2)"       ,MultiLineString ,  86.1614 , 27.7327 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 3)"       ,MultiLineString ,  86.1582 , 27.7315 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 4)"       ,MultiLineString ,  86.1569 , 27.727  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 5)"       ,MultiLineString ,  86.1545 , 27.7244 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 6)"       ,MultiLineString ,  86.1503 , 27.7198 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 7)"       ,MultiLineString ,  86.1482 , 27.7185 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 8)"       ,MultiLineString ,  86.1482 , 27.7156 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 9)"       ,MultiLineString ,  86.1498 , 27.7119 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 10)"      ,MultiLineString ,  86.1462 , 27.7081 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 11)"      ,MultiLineString ,  86.1433 , 27.706  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 12)"      ,MultiLineString ,  86.1503 , 27.7054 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 13)"      ,MultiLineString ,  86.1547 , 27.704  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 14)"      ,MultiLineString ,  86.1588 , 27.7024 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 15)"      ,MultiLineString ,  86.1597 , 27.705  ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 16)"      ,MultiLineString ,  86.1634 , 27.6997 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 3, Point 17)"      ,MultiLineString ,  86.1675 , 27.6954 ,dataset/raw/GairiHanumante to Simigaun.json
